user_id,action_name,negative_type,positive_label,pattern_id,reason
user_070,短信验证,only_two_occurrences,0,periodic_negative_000,should_not_be_periodic
user_020,风险评估,short_burst,0,periodic_negative_001,should_not_be_periodic
user_066,短信验证,irregular_interval,0,periodic_negative_002,should_not_be_periodic
user_053,工资转账,single_natural_cycle,0,periodic_negative_003,should_not_be_periodic
user_221,查看黄金行情,frequent_without_stable_interval,0,periodic_negative_004,should_not_be_periodic
user_042,查看黄金行情,only_two_occurrences,0,periodic_negative_005,should_not_be_periodic
user_046,预约网点取号,short_burst,0,periodic_negative_006,should_not_be_periodic
user_093,信用卡账单,irregular_interval,0,periodic_negative_007,should_not_be_periodic
user_212,预约网点取号,single_natural_cycle,0,periodic_negative_008,should_not_be_periodic
user_205,工资转账,frequent_without_stable_interval,0,periodic_negative_009,should_not_be_periodic
user_104,查看黄金行情,only_two_occurrences,0,periodic_negative_010,should_not_be_periodic
user_092,预约网点取号,short_burst,0,periodic_negative_011,should_not_be_periodic
user_202,查账户明细,irregular_interval,0,periodic_negative_012,should_not_be_periodic
user_195,查看黄金行情,single_natural_cycle,0,periodic_negative_013,should_not_be_periodic
user_086,基金定投,frequent_without_stable_interval,0,periodic_negative_014,should_not_be_periodic
user_125,添加银行卡,only_two_occurrences,0,periodic_negative_015,should_not_be_periodic
user_179,查看基金净值,short_burst,0,periodic_negative_016,should_not_be_periodic
user_018,还信用卡,irregular_interval,0,periodic_negative_017,should_not_be_periodic
user_149,短信验证,single_natural_cycle,0,periodic_negative_018,should_not_be_periodic
user_034,还信用卡,frequent_without_stable_interval,0,periodic_negative_019,should_not_be_periodic
user_203,给朋友转账,only_two_occurrences,0,periodic_negative_020,should_not_be_periodic
user_227,查余额,short_burst,0,periodic_negative_021,should_not_be_periodic
user_010,查银行卡,irregular_interval,0,periodic_negative_022,should_not_be_periodic
user_220,给朋友转账,single_natural_cycle,0,periodic_negative_023,should_not_be_periodic
user_036,银行卡管理,frequent_without_stable_interval,0,periodic_negative_024,should_not_be_periodic
user_193,给朋友转账,only_two_occurrences,0,periodic_negative_025,should_not_be_periodic
user_237,还信用卡,short_burst,0,periodic_negative_026,should_not_be_periodic
user_077,银行卡管理,irregular_interval,0,periodic_negative_027,should_not_be_periodic
user_098,查账单,single_natural_cycle,0,periodic_negative_028,should_not_be_periodic
user_137,查余额,frequent_without_stable_interval,0,periodic_negative_029,should_not_be_periodic
user_222,添加银行卡,only_two_occurrences,0,periodic_negative_030,should_not_be_periodic
user_188,给朋友转账,short_burst,0,periodic_negative_031,should_not_be_periodic
user_217,还信用卡,irregular_interval,0,periodic_negative_032,should_not_be_periodic
user_168,快捷支付,single_natural_cycle,0,periodic_negative_033,should_not_be_periodic
user_032,查还款结果,frequent_without_stable_interval,0,periodic_negative_034,should_not_be_periodic
user_172,查看理财产品,only_two_occurrences,0,periodic_negative_035,should_not_be_periodic
user_115,添加银行卡,short_burst,0,periodic_negative_036,should_not_be_periodic
user_068,查银行卡,irregular_interval,0,periodic_negative_037,should_not_be_periodic
user_047,查看黄金行情,single_natural_cycle,0,periodic_negative_038,should_not_be_periodic
user_096,查交易结果,frequent_without_stable_interval,0,periodic_negative_039,should_not_be_periodic
user_008,工资转账,only_two_occurrences,0,periodic_negative_040,should_not_be_periodic
user_067,买黄金,short_burst,0,periodic_negative_041,should_not_be_periodic
user_208,查看基金净值,irregular_interval,0,periodic_negative_042,should_not_be_periodic
user_057,查看基金净值,single_natural_cycle,0,periodic_negative_043,should_not_be_periodic
user_126,查看基金净值,frequent_without_stable_interval,0,periodic_negative_044,should_not_be_periodic
user_128,风险评估,only_two_occurrences,0,periodic_negative_045,should_not_be_periodic
user_051,查看基金净值,short_burst,0,periodic_negative_046,should_not_be_periodic
user_073,给朋友转账,irregular_interval,0,periodic_negative_047,should_not_be_periodic
user_174,查银行卡,single_natural_cycle,0,periodic_negative_048,should_not_be_periodic
user_148,查余额,frequent_without_stable_interval,0,periodic_negative_049,should_not_be_periodic
user_111,查看黄金行情,only_two_occurrences,0,periodic_negative_050,should_not_be_periodic
user_069,添加银行卡,short_burst,0,periodic_negative_051,should_not_be_periodic
user_165,查余额,irregular_interval,0,periodic_negative_052,should_not_be_periodic
user_084,查交易明细,single_natural_cycle,0,periodic_negative_053,should_not_be_periodic
user_131,快捷支付,frequent_without_stable_interval,0,periodic_negative_054,should_not_be_periodic
user_127,银行卡管理,only_two_occurrences,0,periodic_negative_055,should_not_be_periodic
