user_id,action_name,time_period,negative_type,positive_label,pattern_id,reason
user_001124,大样本非固定时段_low_count_0000,early_morning,low_count,0,large_time_period_negative_0000,should_not_be_time_period_task
user_001490,大样本非固定时段_low_active_days_0001,morning,low_active_days,0,large_time_period_negative_0001,should_not_be_time_period_task
user_000849,大样本非固定时段_low_share_0002,afternoon,low_share,0,large_time_period_negative_0002,should_not_be_time_period_task
user_001346,大样本非固定时段_low_count_0003,evening,low_count,0,large_time_period_negative_0003,should_not_be_time_period_task
user_001372,大样本非固定时段_low_active_days_0004,early_morning,low_active_days,0,large_time_period_negative_0004,should_not_be_time_period_task
user_001046,大样本非固定时段_low_share_0005,morning,low_share,0,large_time_period_negative_0005,should_not_be_time_period_task
user_000695,大样本非固定时段_low_count_0006,afternoon,low_count,0,large_time_period_negative_0006,should_not_be_time_period_task
user_001087,大样本非固定时段_low_active_days_0007,evening,low_active_days,0,large_time_period_negative_0007,should_not_be_time_period_task
user_000298,大样本非固定时段_low_share_0008,early_morning,low_share,0,large_time_period_negative_0008,should_not_be_time_period_task
user_001741,大样本非固定时段_low_count_0009,morning,low_count,0,large_time_period_negative_0009,should_not_be_time_period_task
user_001542,大样本非固定时段_low_active_days_0010,afternoon,low_active_days,0,large_time_period_negative_0010,should_not_be_time_period_task
user_000655,大样本非固定时段_low_share_0011,evening,low_share,0,large_time_period_negative_0011,should_not_be_time_period_task
user_001112,大样本非固定时段_low_count_0012,early_morning,low_count,0,large_time_period_negative_0012,should_not_be_time_period_task
user_000412,大样本非固定时段_low_active_days_0013,morning,low_active_days,0,large_time_period_negative_0013,should_not_be_time_period_task
user_001723,大样本非固定时段_low_share_0014,afternoon,low_share,0,large_time_period_negative_0014,should_not_be_time_period_task
user_001730,大样本非固定时段_low_count_0015,evening,low_count,0,large_time_period_negative_0015,should_not_be_time_period_task
user_000460,大样本非固定时段_low_active_days_0016,early_morning,low_active_days,0,large_time_period_negative_0016,should_not_be_time_period_task
user_001250,大样本非固定时段_low_share_0017,morning,low_share,0,large_time_period_negative_0017,should_not_be_time_period_task
user_000185,大样本非固定时段_low_count_0018,afternoon,low_count,0,large_time_period_negative_0018,should_not_be_time_period_task
user_000236,大样本非固定时段_low_active_days_0019,evening,low_active_days,0,large_time_period_negative_0019,should_not_be_time_period_task
user_001207,大样本非固定时段_low_share_0020,early_morning,low_share,0,large_time_period_negative_0020,should_not_be_time_period_task
user_000797,大样本非固定时段_low_count_0021,morning,low_count,0,large_time_period_negative_0021,should_not_be_time_period_task
user_000060,大样本非固定时段_low_active_days_0022,afternoon,low_active_days,0,large_time_period_negative_0022,should_not_be_time_period_task
user_001237,大样本非固定时段_low_share_0023,evening,low_share,0,large_time_period_negative_0023,should_not_be_time_period_task
user_000351,大样本非固定时段_low_count_0024,early_morning,low_count,0,large_time_period_negative_0024,should_not_be_time_period_task
user_001350,大样本非固定时段_low_active_days_0025,morning,low_active_days,0,large_time_period_negative_0025,should_not_be_time_period_task
user_001194,大样本非固定时段_low_share_0026,afternoon,low_share,0,large_time_period_negative_0026,should_not_be_time_period_task
user_000857,大样本非固定时段_low_count_0027,evening,low_count,0,large_time_period_negative_0027,should_not_be_time_period_task
user_001564,大样本非固定时段_low_active_days_0028,early_morning,low_active_days,0,large_time_period_negative_0028,should_not_be_time_period_task
user_000169,大样本非固定时段_low_share_0029,morning,low_share,0,large_time_period_negative_0029,should_not_be_time_period_task
user_000139,大样本非固定时段_low_count_0030,afternoon,low_count,0,large_time_period_negative_0030,should_not_be_time_period_task
user_001054,大样本非固定时段_low_active_days_0031,evening,low_active_days,0,large_time_period_negative_0031,should_not_be_time_period_task
user_000481,大样本非固定时段_low_share_0032,early_morning,low_share,0,large_time_period_negative_0032,should_not_be_time_period_task
user_001369,大样本非固定时段_low_count_0033,morning,low_count,0,large_time_period_negative_0033,should_not_be_time_period_task
user_000080,大样本非固定时段_low_active_days_0034,afternoon,low_active_days,0,large_time_period_negative_0034,should_not_be_time_period_task
user_000852,大样本非固定时段_low_share_0035,evening,low_share,0,large_time_period_negative_0035,should_not_be_time_period_task
user_001704,大样本非固定时段_low_count_0036,early_morning,low_count,0,large_time_period_negative_0036,should_not_be_time_period_task
user_000356,大样本非固定时段_low_active_days_0037,morning,low_active_days,0,large_time_period_negative_0037,should_not_be_time_period_task
user_000915,大样本非固定时段_low_share_0038,afternoon,low_share,0,large_time_period_negative_0038,should_not_be_time_period_task
user_000787,大样本非固定时段_low_count_0039,evening,low_count,0,large_time_period_negative_0039,should_not_be_time_period_task
user_001248,大样本非固定时段_low_active_days_0040,early_morning,low_active_days,0,large_time_period_negative_0040,should_not_be_time_period_task
user_001868,大样本非固定时段_low_share_0041,morning,low_share,0,large_time_period_negative_0041,should_not_be_time_period_task
user_001941,大样本非固定时段_low_count_0042,afternoon,low_count,0,large_time_period_negative_0042,should_not_be_time_period_task
user_001944,大样本非固定时段_low_active_days_0043,evening,low_active_days,0,large_time_period_negative_0043,should_not_be_time_period_task
user_001734,大样本非固定时段_low_share_0044,early_morning,low_share,0,large_time_period_negative_0044,should_not_be_time_period_task
user_001371,大样本非固定时段_low_count_0045,morning,low_count,0,large_time_period_negative_0045,should_not_be_time_period_task
user_001900,大样本非固定时段_low_active_days_0046,afternoon,low_active_days,0,large_time_period_negative_0046,should_not_be_time_period_task
user_000810,大样本非固定时段_low_share_0047,evening,low_share,0,large_time_period_negative_0047,should_not_be_time_period_task
user_000685,大样本非固定时段_low_count_0048,early_morning,low_count,0,large_time_period_negative_0048,should_not_be_time_period_task
user_001581,大样本非固定时段_low_active_days_0049,morning,low_active_days,0,large_time_period_negative_0049,should_not_be_time_period_task
user_000639,大样本非固定时段_low_share_0050,afternoon,low_share,0,large_time_period_negative_0050,should_not_be_time_period_task
user_001426,大样本非固定时段_low_count_0051,evening,low_count,0,large_time_period_negative_0051,should_not_be_time_period_task
user_001895,大样本非固定时段_low_active_days_0052,early_morning,low_active_days,0,large_time_period_negative_0052,should_not_be_time_period_task
user_001296,大样本非固定时段_low_share_0053,morning,low_share,0,large_time_period_negative_0053,should_not_be_time_period_task
user_000179,大样本非固定时段_low_count_0054,afternoon,low_count,0,large_time_period_negative_0054,should_not_be_time_period_task
user_000203,大样本非固定时段_low_active_days_0055,evening,low_active_days,0,large_time_period_negative_0055,should_not_be_time_period_task
user_000076,大样本非固定时段_low_share_0056,early_morning,low_share,0,large_time_period_negative_0056,should_not_be_time_period_task
